Property ID|Location|Price|Bedrooms|Bathrooms|Size|Price SQ Ft|Status
1586618|Los Osos|275000|3|2|1200|229.17|Short Sale
1587432|Thomas County|499000|3|4|2250|221.78|Short Sale
1587454|Santa Bay|899000|3|3|2430|369.96|Foreclosure
1587476|Santa Bay|1045000|3|3|2100|497.62|Foreclosure
1587498|Santa Bay|774000|2|2|1550|499.35|Foreclosure
1588070|Thomas County|239000|3|3|1800|132.78|Short Sale
1588180|Thomas County|195000|3|2|1218|160.1|Short Sale
1592668|Grover Beach|325000|2|1|768|423.18|Short Sale
1592965|Nipomo|320000|4|2|1929|165.89|Short Sale
1593856|Thomas County|275000|4|3|1877|146.51|Short Sale
1595957|Paulo Pablo|329000|3|2|1700|193.53|Short Sale
1596518|Thomas County|140000|3|2|1080|365.3|Short Sale
1598399|Paulo Pablo|409000|4|3|2192|163.59|Short Sale
1599928|Thomas County|167900|3|2|1296|179.75|Foreclosure
1600181|Nipomo|325000|7|5|2688|286.78|Short Sale
1602986|Thomas County|119000|1|1|900|98.99|Short Sale
1603195|Thomas County|245000|4|2|1482|180.5|Short Sale
1603679|Thomas County|259900|3|2|1726|120.34|Short Sale
1604350|Arroyo Grande|495000|3|2|1486|149.28|Short Sale
1605472|San Luis Obispo|399000|4|2|1543|283.32|Short Sale
1606440|Thomas County|329700|4|2|1367|241.12|Short Sale
1607210|Atascadero|199000|1|1|712|220|Short Sale
1607430|Thomas County|149000|3|2|1040|177.86|Short Sale
1607584|Paulo Pablo|225000|3|2|1456|246.87|Short Sale
1607639|Thomas County|195000|2|1|811|168.5|Short Sale
1608332|Paulo Pablo|359900|3|3|1951|217.5|Short Sale
1608453|Templeton|799000|4|4|3100|175.03|Short Sale
1609102|San Luis Obispo|595000|3|2|2117|215.68|Short Sale
1609322|Paulo Pablo|89000|3|2|1560|203.05|Short Sale
1609410|Thomas County|129900|3|1|1042|173.94|Short Sale
1609520|Los Osos|375000|3|3|1519|288.72|Short Sale
1610653|Atascadero|599000|3|2|2774|263.92|Short Sale
1611456|Paulo Pablo|235000|3|2|1340|386.6|Short Sale
1611907|Thomas County|255900|3|2|1440|365.3|Foreclosure
1611984|Thomas County|148900|5|2|1064|163.59|Short Sale
1612391|Arroyo Grande|749000|3|2|2145|179.75|Short Sale
1612567|Thomas County|189900|3|2|1472|286.78|Foreclosure
1613139|Paulo Pablo|183000|3|1|888|98.99|Short Sale
1613337|Thomas County|232600|3|3|1582|180.5|Short Sale
1614503|Cambria|520000|3|2|1680|120.34|Short Sale
1614690|Solvang|355000|3|3|1702|149.28|Foreclosure
1614767|Pismo Beach|275000|0|1|398|283.32|Short Sale
1615768|Thomas County|225000|4|3|1940|241.12|Short Sale
1616846|Thomas County|161900|3|2|1200|220|Short Sale
1618034|Thomas County|249999|3|3|2013|177.86|Short Sale
1618837|Thomas County|208000|2|1|1267|246.87|Short Sale
1619354|Guadalupe|135000|3|1|1100|168.5|Short Sale
1619376|San Luis Obispo|385000|2|3|1389|217.5|Short Sale
1619640|Atascadero|750000|4|4|3387|175.03|Foreclosure
1619651|Atascadero|810000|4|3|3305|215.68|Foreclosure
1619739|Atascadero|890000|4|5|4229|203.05|Foreclosure
1619783|Atascadero|895000|4|3|3676|173.94|Foreclosure
1621114|San Miguel|229900|3|2|1458|288.72|Short Sale
1621840|Grover Beach|240000|2|2|1020|263.92|Short Sale
1621950|Atascadero|429000|4|3|2513|386.6|Foreclosure
1623270|Thomas County|399000|4|3|2800|340|Short Sale
1623446|Thomas County|385000|3|2|2000|209.09|Short Sale
1623633|Paulo Pablo|294900|3|2|1316|296.98|Foreclosure
1623721|Paulo Pablo|399000|3|2|1220|238.1|Short Sale
1623820|Thomas County|269000|3|3|1780|108.14|Short Sale
1624194|Cambria|449000|3|3|2120|191.03|Short Sale
1625371|Arroyo Grande|555900|5|3|2947|173.68|Foreclosure
1625437|Paulo Pablo|319900|4|2|2135|137.24|Foreclosure
1626009|Cambria|332000|4|4|1872|165|Foreclosure
1626636|Bradley|499000|4|5|3400|215.23|Short Sale
1627428|Paulo Pablo|432000|4|3|3113|209.36|Short Sale
1628770|Arroyo Grande|199000|2|1|827|363.94|Short Sale
1629848|Thomas County|29000|2|2|1500|375.71|Foreclosure
1630145|Atascadero|299000|3|2|1270|212.73|Short Sale
1631179|Thomas County|259000|4|3|1857|139.47|Short Sale
1631498|Los Osos|99000|1|1|538|184.01|Short Sale
1631564|Avila Beach|779000|2|2|1223|636.96|Foreclosure
1631575|Avila Beach|839000|2|2|1223|686.02|Foreclosure
1632224|Santa Ynez|525000|3|2|1746|300.69|Short Sale
1632389|Santa Ynez|795000|3|2|2092|380.02|Short Sale
1633192|Thomas County|337000|4|2|2000|168.5|Short Sale
1633709|La Oceana|164900|2|1|750|219.87|Foreclosure
1634842|San Luis Obispo|449000|2|3|1650|272.12|Short Sale
1634864|Guadalupe|94000|2|2|797|117.94|Foreclosure
1635018|Pismo Beach|899000|3|3|2266|396.73|Short Sale
1636096|Thomas County|180000|3|2|1280|140.63|Short Sale
1636184|Bradley|194900|3|2|1092|178.48|Foreclosure
1636327|Los Osos|350000|3|2|1509|231.94|Short Sale
1636866|King City|167770|3|3|1793|93.57|Foreclosure
1637262|Creston|309900|3|2|1705|181.76|Foreclosure
1637691|Templeton|479000|2|3|2100|228.1|Short Sale
1638571|Los Alamos|350000|3|2|1582|221.24|Short Sale
1639011|Grover Beach|350000|3|2|1470|238.1|Short Sale
1639264|Thomas County|275000|3|2|1424|193.12|Short Sale
1639429|Paulo Pablo|379000|4|3|2277|166.45|Short Sale
1639759|King City|155900|4|2|3368|46.29|Foreclosure
1640155|San Miguel|229000|3|2|1458|157.06|Short Sale
1641123|Pismo Beach|604995|2|3|1749|345.91|Foreclosure
1641277|Pismo Beach|599000|3|3|1996|300.1|Short Sale
1641530|Santa Bay|359000|3|2|1008|356.15|Short Sale
1642025|Lompoc|199000|4|2|1527|130.32|Foreclosure
1642157|Paulo Pablo|164900|3|2|1440|114.51|Short Sale
1642377|Coalinga|179000|3|2|1815|98.62|Short Sale
1642487|Paulo Pablo|370000|4|2|2064|179.26|Short Sale
1642564|Santa Ynez|999000|5|4|2402|415.9|Short Sale
1643059|Paulo Pablo|365000|3|3|2136|170.88|Short Sale
1643411|San Miguel|345000|3|2|1498|230.31|Short Sale
1643532|Paulo Pablo|299000|2|1|1068|279.96|Short Sale
1643829|Pismo Beach|519500|2|1|634|819.4|Short Sale
1644170|Buellton|645000|4|4|3000|215|Short Sale
1644302|Thomas County|242500|3|2|1218|199.1|Foreclosure
1644654|Thomas County|259900|3|3|1300|199.92|Short Sale
1645644|Thomas County|310000|4|3|2014|153.92|Short Sale
1645732|Atascadero|450000|2|2|1463|307.59|Short Sale
1645765|Thomas County|220000|2|2|1541|142.76|Short Sale
1645776|San Luis Obispo|585000|3|2|1268|461.36|Short Sale
1645963|Thomas County|324000|5|4|2400|135|Short Sale
1646326|Cambria|375000|1|1|551|680.58|Short Sale
1646700|Paulo Pablo|329000|3|2|1420|231.69|Short Sale
1647272|Paulo Pablo|599900|5|3|2764|217.04|Foreclosure
1647701|Thomas County|74900|2|2|1014|73.87|Short Sale
1647767|Los Osos|285000|3|2|1120|254.46|Short Sale
1647943|Thomas County|751900|3|3|3400|221.15|Foreclosure
1648119|Thomas County|295000|3|2|1386|212.84|Short Sale
1648229|Coalinga|170000|3|2|1320|128.79|Short Sale
1648251|Thomas County|197000|3|2|1376|143.17|Short Sale
1648460|La Oceana|1250000|3|3|2586|483.37|Short Sale
1648504|Paulo Pablo|249000|3|2|1662|149.82|Short Sale
1648559|Nipomo|179000|2|2|1033|173.28|Short Sale
1648647|Thomas County|132000|3|1|1050|125.71|Short Sale
1648702|Lockwood|425000|3|2|1500|283.33|Short Sale
1648790|Thomas County|290000|5|3|2500|116|Short Sale
1648999|Los Osos|150000|2|2|896|167.41|Short Sale
1649021|Los Osos|150000|2|2|896|167.41|Short Sale
1649054|Los Osos|150000|2|2|896|167.41|Short Sale
1649065|Los Osos|150000|2|2|896|167.41|Short Sale
1649076|Los Osos|150000|2|2|896|167.41|Short Sale
1649087|Los Osos|205000|2|2|1388|147.69|Short Sale
1649109|Atascadero|599000|4|3|3120|191.99|Short Sale
1649142|Paulo Pablo|269000|3|3|1352|198.96|Short Sale
1649428|Thomas County|249000|4|3|1963|126.85|Short Sale
1649516|Thomas County|235000|3|3|1541|152.5|Short Sale
1649571|Grover Beach|469000|4|3|2449|191.51|Foreclosure
1649879|Nipomo|159000|4|2|1660|95.78|Short Sale
1649934|King City|69900|3|1|936|74.68|Foreclosure
1651573|Arroyo Grande|1499000|5|7|6800|220.44|Short Sale
1652134|Atascadero|239000|3|2|1022|233.86|Short Sale
1652189|Atascadero|399500|3|2|1665|239.94|Short Sale
1652640|Paulo Pablo|299900|3|2|1209|248.06|Foreclosure
1652816|Lompoc|275000|3|2|1700|161.76|Short Sale
1652882|Santa Bay|395000|4|2|1736|227.53|Short Sale
1653113|Thomas County|105000|1|1|731|143.64|Short Sale
1653190|Thomas County|179999|3|2|1086|165.74|Short Sale
1653234|Thomas County|219000|3|2|1131|193.63|Short Sale
1653388|Solvang|325000|3|3|1500|216.67|Short Sale
1653487|Atascadero|829900|4|3|3827|216.85|Short Sale
1653685|Thomas County|165000|2|1|1100|150|Short Sale
1653960|Thomas County|179000|3|2|1398|128.04|Short Sale
1654290|Paulo Pablo|279000|3|2|1381|202.03|Short Sale
1654312|Atascadero|820000|4|4|3387|242.1|Foreclosure
1654334|Paulo Pablo|399000|2|1|1250|319.2|Short Sale
1654477|San Miguel|164900|3|1|965|170.88|Short Sale
1654664|Thomas County|235000|4|2|1860|126.34|Short Sale
1654829|Arroyo Grande|1900000|4|5|5411|351.14|Short Sale
1655005|Nipomo|289000|3|2|1367|211.41|Short Sale
1655170|Paulo Pablo|355000|3|2|1640|216.46|Short Sale
1655247|Thomas County|199000|3|2|1269|156.82|Short Sale
1655302|Thomas County|209000|3|2|1275|163.92|Short Sale
1655423|Lompoc|186900|3|1|912|204.93|Foreclosure
1655511|Thomas County|240000|4|2|1460|164.38|Short Sale
1655643|Nipomo|515000|2|2|2000|257.5|Short Sale
1655973|Thomas County|215000|4|2|1750|122.86|Short Sale
1656116|Thomas County|399900|4|4|3050|131.11|Short Sale
1656281|Paulo Pablo|369000|4|3|2371|155.63|Short Sale
1656292|Paulo Pablo|250000|2|2|1292|193.5|Short Sale
1656468|Paulo Pablo|259000|3|2|1640|157.93|Short Sale
1656721|Thomas County|180000|2|2|1082|166.36|Short Sale
1656996|Solvang|399900|3|2|1522|262.75|Short Sale
1657018|Arroyo Grande|385000|3|2|1535|250.81|Short Sale
1657359|Thomas County|154000|2|2|1100|140|Short Sale
1658052|San Luis Obispo|254900|2|2|966|263.87|Foreclosure
1658184|Paulo Pablo|315000|4|2|1653|190.56|Short Sale
1658206|Thomas County|437500|3|3|2523|173.4|Short Sale
1658261|Thomas County|299900|3|3|2511|119.43|Short Sale
1658503|Arroyo Grande|399000|3|3|1772|225.17|Short Sale
1659053|Paulo Pablo|330000|3|3|1889|174.7|Short Sale
1659097|Arroyo Grande|279000|2|2|880|317.05|Short Sale
1659284|Thomas County|248000|3|2|1400|177.14|Short Sale
1659427|Thomas County|209000|3|3|1494|139.89|Short Sale
1659669|Los Osos|729000|3|2|1844|395.34|Short Sale
1659933|Atascadero|454500|4|3|1900|239.21|Foreclosure
1660219|Paulo Pablo|249000|3|2|1176|211.73|Short Sale
1660439|Nipomo|1700000|3|5|4463|380.91|Short Sale
1660626|Grover Beach|349000|3|2|1635|213.46|Short Sale
1660659|Grover Beach|575000|3|3|2095|274.46|Short Sale
1660780|Thomas County|185000|3|2|1300|142.31|Short Sale
1660791|Thomas County|165000|3|2|1200|137.5|Short Sale
1660857|Santa Bay|311900|0|1|910|342.75|Foreclosure
1661000|Thomas County|175000|3|2|1600|109.38|Short Sale
1661055|Lompoc|180000|4|2|1332|135.14|Short Sale
1661099|Thomas County|78000|2|2|1680|46.43|Short Sale
1661231|La Oceana|142900|2|1|1313|108.83|Foreclosure
1661781|Atascadero|850000|4|4|3744|227.03|Foreclosure
1661858|Paulo Pablo|389000|3|2|1998|194.69|Short Sale
1661880|Thomas County|641900|3|3|2714|236.51|Foreclosure
1661913|Templeton|305000|4|2|1797|169.73|Short Sale
1661924|Paulo Pablo|260000|3|3|1687|154.12|Short Sale
1661935|Paulo Pablo|320000|3|2|1663|192.42|Short Sale
1662067|Atascadero|199000|2|1|792|251.26|Short Sale
1662177|Thomas County|299000|2|2|1410|212.06|Short Sale
1662254|Buellton|289000|2|2|1085|266.36|Short Sale
1662386|Thomas County|229900|3|3|1900|121|Short Sale
1662518|Atascadero|865000|4|3|3305|261.72|Foreclosure
1663046|Atascadero|900000|4|4|3962|227.16|Short Sale
1663057|Atascadero|199000|2|3|1260|157.94|Short Sale
1663343|Thomas County|160000|2|3|1200|133.33|Short Sale
1663497|Thomas County|299000|3|3|2400|124.58|Short Sale
1663508|La Oceana|300000|3|3|1265|237.15|Short Sale
1663552|Thomas County|270000|4|2|1460|184.93|Short Sale
1663706|Nipomo|490000|3|3|1894|258.71|Short Sale
1663739|Thomas County|295000|3|3|1800|163.89|Short Sale
1663827|Paulo Pablo|225000|3|2|1550|145.16|Short Sale
1664047|Atascadero|324900|2|2|1426|227.84|Short Sale
1664223|Thomas County|165000|3|2|1110|148.65|Short Sale
1664256|Thomas County|157900|3|2|1075|146.88|Short Sale
1664344|Nipomo|299000|3|2|1756|170.27|Short Sale
1664388|Paulo Pablo|369000|3|3|2150|171.63|Short Sale
1665103|Thomas County|233000|4|2|1650|141.21|Short Sale
1665345|Thomas County|109900|2|2|1200|91.58|Foreclosure
1665422|Paulo Pablo|309000|3|2|1488|207.66|Short Sale
1665609|Pismo Beach|1799000|4|4|3609|498.48|Foreclosure
1665851|Thomas County|209900|2|2|1113|188.59|Short Sale
1665873|Solvang|499000|3|2|1600|311.88|Short Sale
1665961|Arroyo Grande|525000|4|2|1961|267.72|Short Sale
1665994|Los Osos|650000|3|3|3249|200.06|Short Sale
1666170|Santa Bay|529000|3|3|1510|350.33|Short Sale
1666478|Thomas County|179000|3|2|1300|137.69|Short Sale
1666731|Lompoc|282000|3|3|1736|162.44|Short Sale
1666797|Templeton|899000|4|3|3008|298.87|Short Sale
1666874|Thomas County|130000|3|2|1850|70.27|Short Sale
1667996|Thomas County|205000|3|2|1146|178.88|Short Sale
1668040|Thomas County|180900|2|2|1100|164.45|Short Sale
1668117|Atascadero|409900|4|4|2135|191.99|Short Sale
1668128|Atascadero|409900|4|4|2135|191.99|Short Sale
1668458|Grover Beach|469000|3|2|1827|256.7|Short Sale
1668491|Arroyo Grande|289000|3|1|1005|287.56|Short Sale
1668590|Thomas County|99999|2|3|1800|55.56|Short Sale
1668700|Thomas County|445000|5|3|3307|134.56|Foreclosure
1668821|Atascadero|640000|3|3|2160|296.3|Short Sale
1668964|San Miguel|185000|3|2|1062|174.2|Short Sale
1669052|Thomas County|210000|4|2|1102|190.56|Short Sale
1669492|Thomas County|199900|3|2|1215|164.53|Short Sale
1669855|Thomas County|225000|3|2|1600|140.63|Short Sale
1669976|Paulo Pablo|369900|4|2|2161|171.17|Foreclosure
1670064|Thomas County|120000|3|2|1686|71.17|Short Sale
1670086|Paulo Pablo|199000|2|1|1000|199|Short Sale
1670152|Arroyo Grande|520000|3|3|2600|200|Short Sale
1670207|Paulo Pablo|579000|5|3|3150|183.81|Foreclosure
1670394|Thomas County|300000|4|2|1257|238.66|Short Sale
1670427|Arroyo Grande|325000|3|2|1171|277.54|Short Sale
1670504|Thomas County|225000|3|2|1144|196.68|Short Sale
1670570|Atascadero|395000|2|1|1160|340.52|Short Sale
1670581|Thomas County|399000|4|3|2300|173.48|Short Sale
1670636|Lompoc|165000|3|2|1144|144.23|Short Sale
1670702|Arroyo Grande|374900|3|2|1368|274.05|Short Sale
1670933|Thomas County|199900|3|2|1238|161.47|Short Sale
1671043|Arroyo Grande|365000|3|1|1056|345.64|Short Sale
1671175|Thomas County|222900|2|2|1086|205.25|Short Sale
1671252|Los Osos|249900|2|1|720|347.08|Foreclosure
1671274|Paulo Pablo|290000|3|2|1426|203.37|Short Sale
1671340|Thomas County|170500|4|2|1361|125.28|Short Sale
1671362|Atascadero|560000|3|3|2344|238.91|Short Sale
1671472|Nipomo|339900|4|2|1925|176.57|Short Sale
1671637|Nipomo|550000|4|3|2600|211.54|Short Sale
1671901|San Miguel|269900|4|2|1601|168.58|Short Sale
1671934|Paulo Pablo|350000|3|2|1395|250.9|Short Sale
1671956|Los Osos|214000|2|2|1042|205.37|Foreclosure
1672022|Thomas County|299900|3|2|1200|249.92|Short Sale
1672033|Nipomo|139500|2|2|1248|111.78|Foreclosure
1672066|Lompoc|360000|4|3|3000|120|Short Sale
1672154|Paulo Pablo|315000|3|2|1300|242.31|Short Sale
1672209|Paulo Pablo|279900|3|2|1244|225|Foreclosure
1672264|Paulo Pablo|399000|4|2|2139|186.54|Short Sale
1672396|Atascadero|475000|4|3|2450|193.88|Short Sale
1672407|Thomas County|65900|2|2|840|78.45|Foreclosure
1672528|Coalinga|212000|4|3|1878|112.89|Short Sale
1672748|San Miguel|180000|3|2|1350|133.33|Short Sale
1672825|Thomas County|210000|4|2|1377|152.51|Short Sale
1672858|Buellton|375000|3|3|1475|254.24|Short Sale
1673199|Atascadero|106900|2|2|894|119.57|Foreclosure
1673276|Paulo Pablo|221830|3|2|1550|143.12|Short Sale
1673342|Nipomo|239000|3|2|1106|216.09|Short Sale
1673441|Atascadero|187500|1|1|594|315.66|Short Sale
1673507|Los Alamos|445000|5|3|3200|139.06|Short Sale
1673529|Thomas County|309000|3|2|1906|162.12|Short Sale
1673672|Thomas County|315000|3|2|2004|157.19|Short Sale
1673694|Thomas County|191100|3|1|1200|159.25|Foreclosure
1673793|Cambria|699900|5|3|1818|384.98|Foreclosure
1674090|Nipomo|189500|2|2|1040|182.21|Short Sale
1674101|Thomas County|199000|4|2|1400|142.14|Short Sale
1674156|Thomas County|359000|4|3|2209|162.52|Short Sale
1674233|Atascadero|264450|3|1|1030|256.75|Short Sale
1674343|Templeton|459000|3|2|1999|229.61|Short Sale
1674497|Thomas County|150000|3|2|1316|113.98|Short Sale
1674508|Pismo Beach|875000|3|3|2200|397.73|Short Sale
1674563|Pismo Beach|599000|2|2|1200|499.17|Short Sale
1674893|Atascadero|250000|3|3|1261|198.26|Short Sale
1674915|Lompoc|165000|3|2|1120|147.32|Short Sale
1674992|Thomas County|229900|4|3|1857|123.8|Short Sale
1675047|Thomas County|229900|3|2|1400|164.21|Short Sale
1675201|Paulo Pablo|269900|3|2|1139|236.96|Short Sale
1675278|Thomas County|245000|5|3|6098|40.18|Short Sale
1675520|Thomas County|165000|3|2|1300|126.92|Short Sale
1675586|Lompoc|429000|3|3|2041|210.19|Short Sale
1675740|Thomas County|309900|4|3|2248|137.86|Short Sale
1675861|Arroyo Grande|265000|2|1|972|272.63|Foreclosure
1675949|Thomas County|169900|4|2|1500|113.27|Short Sale
1675960|Thomas County|380900|3|2|2000|190.45|Short Sale
1676224|Thomas County|315000|4|3|1939|162.45|Short Sale
1676323|Lompoc|260000|3|2|1413|184.01|Short Sale
1676345|Thomas County|119900|3|2|1312|91.39|Short Sale
1676356|Thomas County|211500|3|2|1275|165.88|Foreclosure
1676411|Thomas County|149000|2|1|854|174.47|Short Sale
1676455|San Luis Obispo|890000|3|3|3474|256.19|Short Sale
1676510|Cambria|289900|3|2|1380|210.07|Foreclosure
1677049|Thomas County|289000|4|3|2100|137.62|Short Sale
1677357|La Oceana|399900|3|2|1487|268.93|Short Sale
1677401|Thomas County|125000|3|2|900|138.89|Short Sale
1677456|Nipomo|359900|5|3|3036|118.54|Short Sale
1677665|Thomas County|239000|3|3|1800|132.78|Short Sale
1677775|Thomas County|199900|3|3|1600|124.94|Short Sale
1677863|Thomas County|179900|4|3|2150|83.67|Short Sale
1678215|Thomas County|195000|3|2|1300|150|Short Sale
1678270|San Luis Obispo|299000|2|2|896|333.71|Foreclosure
1678391|Thomas County|265000|2|3|1700|155.88|Short Sale
1678446|Nipomo|699000|3|2|1700|411.18|Foreclosure
1678567|Grover Beach|275000|2|2|1194|230.32|Short Sale
1678787|Paulo Pablo|169990|3|2|1465|116.03|Foreclosure
1678809|Thomas County|189000|3|3|1530|123.53|Short Sale
1679018|Santa Ynez|695000|4|2|2032|342.03|Foreclosure
1679370|Thomas County|105000|2|2|1088|96.51|Short Sale
1679425|Thomas County|365000|4|4|4000|91.25|Short Sale
1679447|Paulo Pablo|335900|3|3|1296|259.18|Foreclosure
1679513|Lompoc|170000|3|2|944|180.08|Short Sale
1679755|Thomas County|339900|4|2|2100|161.86|Short Sale
1679876|Thomas County|359900|3|3|2340|153.8|Short Sale
1679898|Thomas County|143000|3|2|1080|132.41|Short Sale
1679920|Thomas County|199000|3|2|1196|166.39|Short Sale
1679997|San Luis Obispo|374800|3|3|1365|274.58|Short Sale
1680327|Los Osos|499000|3|2|2120|235.38|Short Sale
1680404|Atascadero|138900|2|1|1055|131.66|Foreclosure
1680448|Avila Beach|1999000|4|5|5307|376.67|Short Sale
1680481|Paulo Pablo|359000|3|2|1774|202.37|Short Sale
1680492|Thomas County|294900|4|2|1856|158.89|Short Sale
1680503|Atascadero|299500|4|2|1836|163.13|Foreclosure
1680558|Thomas County|427900|4|3|2367|180.78|Short Sale
1680591|Nipomo|269000|3|2|1181|227.77|Short Sale
1680624|Bradley|449000|3|3|2563|175.19|Short Sale
1680712|Thomas County|144900|2|2|1130|128.23|Foreclosure
1680734|Thomas County|345000|3|3|2020|170.79|Short Sale
1680800|Paulo Pablo|239000|4|2|1240|192.74|Short Sale
1680855|Los Osos|310000|2|1|780|397.44|Short Sale
1680866|Thomas County|225000|3|3|1800|125|Short Sale
1680899|Paulo Pablo|695000|5|6|3750|185.33|Short Sale
1681020|Nipomo|242500|3|3|1650|146.97|Short Sale
1681284|Arroyo Grande|249250|2|1|728|342.38|Short Sale
1681339|Grover Beach|479000|3|2|1462|327.63|Short Sale
1681394|Lompoc|169900|3|2|1150|147.74|Foreclosure
1681416|Thomas County|219900|3|3|1660|132.47|Short Sale
1681757|Paulo Pablo|150000|2|2|1440|104.17|Short Sale
1681768|Nipomo|649000|4|2|1814|357.77|Foreclosure
1681790|Thomas County|285000|4|3|2100|135.71|Short Sale
1681823|Paulo Pablo|163999|3|2|1488|110.21|Short Sale
1681867|Nipomo|349000|4|2|1718|203.14|Short Sale
1681900|Buellton|409900|3|2|1716|238.87|Foreclosure
1681966|Los Osos|275000|3|2|1320|208.33|Short Sale
1682032|Thomas County|179900|3|2|1200|149.92|Foreclosure
1682054|La Oceana|789000|3|3|2218|355.73|Short Sale
1682307|Thomas County|299000|4|3|1768|169.12|Short Sale
1682428|Arroyo Grande|850000|5|4|3588|236.9|Foreclosure
1682604|Thomas County|295900|3|2|1776|166.61|Short Sale
1682637|Thomas County|199000|4|3|1467|135.65|Short Sale
1682659|Thomas County|199900|3|3|1950|102.51|Short Sale
1682758|Thomas County|179900|3|2|1288|139.67|Foreclosure
1682857|Atascadero|290000|3|3|1733|167.34|Short Sale
1682879|Thomas County|168000|3|2|1128|148.94|Short Sale
1682978|Thomas County|270000|3|3|1900|142.11|Short Sale
1682989|Los Osos|1249000|6|7|5103|244.76|Foreclosure
1683000|Thomas County|240000|3|2|1255|191.24|Short Sale
1683154|Coalinga|219500|5|2|1802|121.81|Short Sale
1683352|Thomas County|235000|4|3|2336|100.6|Short Sale
1683396|San Luis Obispo|239800|2|2|1190|201.51|Foreclosure
1683462|Thomas County|269000|3|3|1800|149.44|Short Sale
1683517|Paulo Pablo|319200|4|3|2006|159.12|Foreclosure
1683572|Paulo Pablo|402500|3|2|2446|164.55|Foreclosure
1683748|Paulo Pablo|425000|3|2|2114|201.04|Short Sale
1683924|Atascadero|669000|3|3|2600|257.31|Short Sale
